,Judul   ,Japanese,Score   ,Produser,Tipe    ,Status  ,Total   ,Durasi  ,Tanggal ,Studio  ,Genre   
0,Shoujo Shuumatsu Ryokou,少女終末旅行,8.18,"AT-X, Shinchosha, Kadokawa Media House, Kadokawa",TV,Completed,12,23 Menit / Episode,"Oct 6, 2017 sampai Dec 22, 2017",White Fox,"Adventure, Mystery, Sci-Fi, Slice of Life"
1,Fate Apocrypha,Fate/Apocrypha,7.18,"Aniplex, Half H.P Studio, Notes, Tokyo MX, BS11",TV,Completed,25,23 Menit / Episode,"Jul 2, 2017 sampai Dec 31, 2017",A-1 Pictures,"Action, Drama, Fantasy, Magic, Supernatural"
2,Sengoku Otome: Momoiro Paradox,戦国乙女～桃色パラドックス～,6.67,-,BD,Completed,13,13,"Apr 5, 2011 sampai Jun 28, 2011",TMS Entertainmen,"Action, Comedy, Historical, Samurai, Sci-Fi, Super Power"
3,Seikoku no Dragonar,星刻の竜騎士 ,6.7,"Media Factory, AT-X, Sony Music Communications, Tsukuru no Mori",BD,Completed,12,24 Menit / Episode,"Apr 5, 2014 sampai Jun 21, 2014",C-Station,"Comedy, Fantasy, School"
4,Diabolik Lovers Season 2,"DIABOLIK LOVERS MORE,BLOOD",6.07,"Frontier Works, Diabolik Lovers MB Project",TV,Completed,12,12 Menit / Episode,"Sep 24, 2015 sampaiDec 10, 2015",Zexcs,"Harem, School, Shoujo, Vampire"
5,Diabolik Lovers,DIABOLIK LOVERS,5.69,"Frontier Works, Idea Factory, Showgate",TV,Completed,12,15 Menit / Episode,"Sep 16, 2013 sampai Dec 9, 2013",Zexcs,"Harem, School, Shoujo, Vampire"
6,Endride,エンドライド,5.76,"VAP, Nippon Television Network Corporation, Nippon Television Music Corporation, Takara Tomy A.R.T.S, CyberAgent, Forecast Communications",TV,Completed,24,23 Menit / Episode,"Apr 3, 2016 sampai Sep 25, 2016",Brain's Base,"Adventure, Fantasy"
7,Rewrite Season 2,Rewrite: Moon-hen / Terra-hen,7.44,"Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, Magic Capsule, ASCII Media Works, Bushiroad, Tokyo MX, BS11, Lawson",TV,Completed,11,24 Menit / Episode,"Jan 14, 2017 sampai Mar 25, 2017",8bit,"Action, Comedy, Fantasy, Military, Romance, Supernatural"
8,Mawaru Penguindrum,輪るピングドラム,8.02,"Starchild Records, Mainichi Broadcasting System",BD,Completed,24,24 Menit / Episode,"Jul 8, 2011 sampai Dec 23, 2011",Brain's Base,"Comedy, Dementia, Drama, Mystery, Psychological"
9,Rewrite,リライト,6.81,"Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, Magic Capsule, ASCII Media Works, Bushiroad, Tokyo MX, BS11, Lawson",BD,Completed,13,24 Menit / Episode,"Jul 2, 2016 sampai Sep 24, 2016",8bit,"Action, Comedy, Romance, School, Supernatural"
